arise_control_id,ARISE Domain,AU Strategy Sections Mapped,AU Themes,AU Article References,rationale
M.RM-01,MANAGE,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",AI Governance & Regulation; Ethics & Responsible AI; Data Governance; AI for Development,Section 2.4.1; Section 2.2; Section 2.4.2.3,"AU-GOV-01: 1 req(s) match (M.RM-01-req-02) on: ai governance. ; AU-GOV-04: 1 req(s) match (M.RM-01-req-05) on: explainability. ; AU-GOV-05: 2 req(s) match (M.RM-01-req-05, M.RM-01-req-09) on: explainab, transparency. ; AU-ETH-01: 1 req(s) match (M.RM-01-req-05) on: fairness. ; AU-DATA-02: 1 req(s) match (M.RM-01-req-03) on: data protection. ; AU-SEC-03: 1 req(s) match (M.RM-01-req-02) on: sme."
M.RM-02,MANAGE,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",AI Governance & Regulation; Ethics & Responsible AI; AI for Development,Section 2.4.1; Section 2.2; Section 2.4.2.3,AU-GOV-01: 1 req(s) match (M.RM-02-req-09) on: governance framework. ; AU-ETH-02: 1 req(s) match (M.RM-02-req-06) on: bias. ; AU-SEC-03: 1 req(s) match (M.RM-02-req-04) on: sme.
M.RP,MANAGE,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (M.RP-req-06) on: rec.
I.AM-01,IDENTIFY,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 4 req(s) match (I.AM-01-req-04, I.AM-01-req-06, I.AM-01-req-07, I.AM-01-req-08) on: rec."
I.AM-02,IDENTIFY,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 6 req(s) match (I.AM-02-req-02, I.AM-02-req-04, I.AM-02-req-05, I.AM-02-req-06, I.AM-02-req-07, I.AM-02-req-08) on: rec."
I.AM-03,IDENTIFY,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (I.AM-03-req-07) on: threat detection.
I.DG-01,IDENTIFY,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (I.DG-01-req-02) on: rec.
I.IM-01,IDENTIFY,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy; AU-RISK-02: AI Safety and Security - Cyber, Disinformation, Critical Infrastructure; AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-INC-02: Information Integrity and Media Literacy",AI Governance & Regulation; Risk Management; AI for Development; Inclusion & Diversity,Section 2.4.1; Section 1.4.2; Section 2.4.4.2; Section 2.4.2.3; Section 2.4.3.4,"AU-GOV-04: 2 req(s) match (I.IM-01-req-01, I.IM-01-req-03) on: impact assessment. ; AU-GOV-05: 1 req(s) match (I.IM-01-req-07) on: red-teaming. ; AU-RISK-01: 1 req(s) match (I.IM-01-req-01) on: discrimination. ; AU-RISK-02: 1 req(s) match (I.IM-01-req-07) on: misinformation. ; AU-RISK-03: 1 req(s) match (I.IM-01-req-05) on: incident response. ; AU-SEC-03: 3 req(s) match (I.IM-01-req-01, I.IM-01-req-03, I.IM-01-req-06) on: sme. ; AU-INC-02: 1 req(s) match (I.IM-01-req-07) on: misinformation."
I.RM-01,IDENTIFY,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",Ethics & Responsible AI,Section 2.2,AU-ETH-02: 1 req(s) match (I.RM-01-req-03) on: bias.
I.RM-02,IDENTIFY,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (I.RM-02-req-05) on: incident response.
I.SC-01,IDENTIFY,"AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",Data Governance; AI for Development,Section 2.4.1; Section 2.4.2.3,AU-DATA-02: 1 req(s) match (I.SC-01-req-02) on: data protection. ; AU-SEC-03: 1 req(s) match (I.SC-01-req-01) on: sme.
I.TH-02,IDENTIFY,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu",AI Governance & Regulation; Ethics & Responsible AI,Section 2.4.1; Section 2.2,AU-GOV-04: 1 req(s) match (I.TH-02-req-03) on: explainability. ; AU-GOV-05: 1 req(s) match (I.TH-02-req-03) on: explainab. ; AU-ETH-01: 1 req(s) match (I.TH-02-req-03) on: fairness.
P.AC.M-01,PROTECT,"AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy",Ethics & Responsible AI; Risk Management,Section 2.2; Section 1.4.2,"AU-ETH-01: 5 req(s) match (P.AC.M-01-req-01, P.AC.M-01-req-02, P.AC.M-01-req-03, P.AC.M-01-req-06, P.AC.M-01-req-07) on: fairness. ; AU-ETH-02: control name references bias. ; AU-RISK-01: 1 req(s) match (P.AC.M-01-req-02) on: fairness metric."
P.AC.M-02,PROTECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation; AU-INVEST-01: Public and Private Sector Investment in AI,Cooperation & Partnerships; Investment,Section 2.4.6.1; Section 2.4.5,AU-COOP-01: 1 req(s) match (P.AC.M-02-req-05) on: rec. ; AU-INVEST-01: 1 req(s) match (P.AC.M-02-req-05) on: fund.
P.AC.M-03,PROTECT,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Cooperation & Partnerships,Section 2.4.1; Section 2.4.6.1,AU-GOV-04: control name references explainability. ; AU-GOV-05: 1 req(s) match (P.AC.M-03-req-05) on: transparency. ; AU-COOP-01: 1 req(s) match (P.AC.M-03-req-05) on: rec.
P.AC.S-01,PROTECT,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-DATA-01: Data Governance, Quality, Diversity and Availability; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Data Governance; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.3.1; Section 2.4.6.1,AU-GOV-05: 1 req(s) match (P.AC.S-01-req-06) on: bias mitigation. ; AU-ETH-02: 1 req(s) match (P.AC.S-01-req-06) on: bias. ; AU-DATA-01: 1 req(s) match (P.AC.S-01-req-05) on: data governance. ; AU-COOP-01: 1 req(s) match (P.AC.S-01-req-01) on: rec.
P.AC.S-02,PROTECT,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (P.AC.S-02-req-04) on: threat detection.
P.AT-01,PROTECT,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-DATA-01: Data Governance, Quality, Diversity and Availability; AU-CAP-02: AI Research and Innovation - Centres of Excellence; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Data Governance; Capability Building; AI for Development; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.3.1; Section 2.4.3.3; Section 2.4.2.3; Section 2.4.6.1,"AU-GOV-04: 1 req(s) match (P.AT-01-req-03) on: explainability. ; AU-GOV-05: 2 req(s) match (P.AT-01-req-01, P.AT-01-req-03) on: accountability, explainab. ; AU-ETH-01: 2 req(s) match (P.AT-01-req-03, P.AT-01-req-07) on: fairness. ; AU-ETH-02: 1 req(s) match (P.AT-01-req-03) on: bias. ; AU-DATA-01: 1 req(s) match (P.AT-01-req-03) on: data governance. ; AU-CAP-02: 1 req(s) match (P.AT-01-req-07) on: ai lab. ; AU-SEC-03: 1 req(s) match (P.AT-01-req-04) on: sme. ; AU-COOP-01: 1 req(s) match (P.AT-01-req-04) on: rec."
P.AT-02,PROTECT,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Risk Management; Cooperation & Partnerships,Section 2.4.4.2; Section 2.4.6.1,"AU-RISK-03: 1 req(s) match (P.AT-02-req-02) on: threat detection. ; AU-COOP-01: 3 req(s) match (P.AT-02-req-02, P.AT-02-req-03, P.AT-02-req-05) on: rec."
P.AT-03,PROTECT,"AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Data Governance; Cooperation & Partnerships,Section 2.4.1; Section 2.4.6.1,AU-DATA-02: 1 req(s) match (P.AT-03-req-05) on: gdpr. ; AU-COOP-01: 1 req(s) match (P.AT-03-req-04) on: rec.
P.RC,PROTECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 2 req(s) match (P.RC-req-01, P.RC-req-07) on: rec."
P.RP-01,PROTECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (P.RP-01-req-01) on: rec.
P.RP-02,PROTECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (P.RP-02-req-05) on: rec.
D.AD,DETECT,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",Ethics & Responsible AI,Section 2.2,AU-ETH-02: 1 req(s) match (D.AD-req-06) on: bias.
D.CM,DETECT,"AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",Ethics & Responsible AI,Section 2.2,AU-ETH-01: 1 req(s) match (D.CM-req-03) on: fairness. ; AU-ETH-02: 1 req(s) match (D.CM-req-03) on: bias.
D.ID,DETECT,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (D.ID-req-05) on: incident response.
D.IM,DETECT,"AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers",Data Governance,Section 2.4.1,AU-DATA-02: 1 req(s) match (D.IM-req-02) on: gdpr.
D.MT,DETECT,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu",AI Governance & Regulation; Ethics & Responsible AI,Section 2.4.1; Section 2.2,"AU-GOV-05: 1 req(s) match (D.MT-req-04) on: accountability, transparency. ; AU-ETH-01: 1 req(s) match (D.MT-req-04) on: fairness."
D.SA-01,DETECT,AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem,AI for Development,Section 2.4.2.3,"AU-SEC-03: 2 req(s) match (D.SA-01-req-02, D.SA-01-req-06) on: sme."
D.SA-04,DETECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 2 req(s) match (D.SA-04-req-01, D.SA-04-req-05) on: rec."
D.SA-05,DETECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (D.SA-05-req-05) on: rec.
D.TI,DETECT,AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem,AI for Development,Section 2.4.2.3,AU-SEC-03: 1 req(s) match (D.TI-req-07) on: sme.
R.IC.E-01,RESPOND,"AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Data Governance; Cooperation & Partnerships,Section 2.4.1; Section 2.4.6.1,"AU-DATA-02: 1 req(s) match (R.IC.E-01-req-01) on: gdpr. ; AU-COOP-01: 3 req(s) match (R.IC.E-01-req-02, R.IC.E-01-req-05, R.IC.E-01-req-06) on: rec."
R.IC.E-03,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (R.IC.E-03-req-06) on: rec.
R.IC.I-01,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (R.IC.I-01-req-06) on: rec.
R.IC.I-02,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 2 req(s) match (R.IC.I-02-req-02, R.IC.I-02-req-07) on: rec."
R.IC.I-03,RESPOND,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: control name references incident response.
R.IC.P,RESPOND,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-RISK-02: AI Safety and Security - Cyber, Disinformation, Critical Infrastructure; AU-INC-02: Information Integrity and Media Literacy",AI Governance & Regulation; Ethics & Responsible AI; Risk Management; Inclusion & Diversity,Section 2.4.1; Section 2.2; Section 2.4.4.2; Section 2.4.3.4,AU-GOV-05: 1 req(s) match (R.IC.P-req-05) on: transparency. ; AU-ETH-02: 1 req(s) match (R.IC.P-req-03) on: bias. ; AU-RISK-02: 1 req(s) match (R.IC.P-req-04) on: disinformation. ; AU-INC-02: 1 req(s) match (R.IC.P-req-04) on: disinformation.
R.IC.R,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (R.IC.R-req-01) on: rec.
R.IM-01,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (R.IM-01-req-07) on: rec.
R.IM-02,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 2 req(s) match (R.IM-02-req-03, R.IM-02-req-04) on: rec."
R.IM-03,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (R.IM-03-req-06) on: rec.
R.IR-01,RESPOND,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Ethics & Responsible AI; Risk Management; AI for Development; Cooperation & Partnerships,Section 2.2; Section 2.4.4.2; Section 2.4.2.3; Section 2.4.6.1,"AU-ETH-02: 1 req(s) match (R.IR-01-req-04) on: bias. ; AU-RISK-03: control name references incident response. ; AU-SEC-03: 1 req(s) match (R.IR-01-req-02) on: sme. ; AU-COOP-01: 2 req(s) match (R.IR-01-req-03, R.IR-01-req-05) on: rec."
R.IR-02,RESPOND,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Risk Management; Cooperation & Partnerships,Section 2.4.4.2; Section 2.4.6.1,"AU-RISK-03: control name references incident response. ; AU-COOP-01: 2 req(s) match (R.IR-02-req-04, R.IR-02-req-05) on: rec."
R.IR-03,RESPOND,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Risk Management; Data Governance; AI for Development; Cooperation & Partnerships,Section 2.4.4.2; Section 2.4.1; Section 2.4.2.3; Section 2.4.6.1,"AU-RISK-03: control name references incident response. ; AU-DATA-02: 2 req(s) match (R.IR-03-req-05, R.IR-03-req-07) on: data protection, data subject. ; AU-SEC-03: 2 req(s) match (R.IR-03-req-04, R.IR-03-req-05) on: sme. ; AU-COOP-01: 2 req(s) match (R.IR-03-req-04, R.IR-03-req-06) on: rec."
R.LL,RESPOND,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (R.LL-req-02) on: rec.
V.CI-02,VALIDATE,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.6.1,AU-GOV-04: 1 req(s) match (V.CI-02-req-02) on: explainability. ; AU-GOV-05: 1 req(s) match (V.CI-02-req-02) on: explainab. ; AU-ETH-01: 1 req(s) match (V.CI-02-req-02) on: fairness. ; AU-COOP-01: 1 req(s) match (V.CI-02-req-01) on: rec.
V.IA,VALIDATE,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (V.IA-req-04) on: rec.
V.TE-01,VALIDATE,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (V.TE-01-req-07) on: rec.
V.TE-02,VALIDATE,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.6.1,AU-GOV-05: 1 req(s) match (V.TE-02-req-01) on: transparency. ; AU-ETH-01: 1 req(s) match (V.TE-02-req-01) on: fairness. ; AU-ETH-02: 1 req(s) match (V.TE-02-req-05) on: bias. ; AU-COOP-01: 1 req(s) match (V.TE-02-req-04) on: rec.
V.TE-03,VALIDATE,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 2 req(s) match (V.TE-03-req-01, V.TE-03-req-08) on: rec."
V.TE-04,VALIDATE,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; AI for Development; Cooperation & Partnerships,Section 2.4.1; Section 2.4.2.3; Section 2.4.6.1,"AU-GOV-04: 2 req(s) match (V.TE-04-req-04, V.TE-04-req-05) on: explainability, impact assessment. ; AU-GOV-05: 1 req(s) match (V.TE-04-req-04) on: explainability. ; AU-SEC-03: 1 req(s) match (V.TE-04-req-05) on: sme. ; AU-COOP-01: 2 req(s) match (V.TE-04-req-02, V.TE-04-req-07) on: rec."
