arise_control_id,HSCC Coverage References,HSCC Requirements / Guidance Items Covered,rationale
D.AD,HSCC-242 Phase 4: Performance Monitoring & Metrics (p. 27-30),HSCC-252 Phase 4: Compliance Auditing (p. 27-30),HSCC-296 Appendix B: Governance Policy (p. 52-58)
D.CM,HSCC-075 Phase 1: AI Governance & Risk Management Framework (p. 13-16),HSCC-083 Phase 1: Third-Party & Supply Chain Dependencies (p. 13-16),HSCC-092 Phase 1: Operational Readiness (p. 13-16)
D.IM,HSCC-006 Executive Summary / Best Practice Components (p. 7),HSCC-060 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16),HSCC-061 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16)
D.MT,HSCC-004 Executive Summary / Best Practice Components (p. 7),HSCC-012 Key Recommendations (p. 8),HSCC-013 Key Recommendations (p. 8)
D.SA-01,HSCC-005 Executive Summary / Best Practice Components (p. 7),HSCC-011 Key Recommendations (p. 8),HSCC-048 Phase 1: Standard Third-Party Risk Assessment (p. 13-16)
D.SA-02,HSCC-066 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-067 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-070 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16)
D.SA-03,HSCC-102 Phase 1: Security Risk Assessment (p. 13-16),HSCC-124 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-125 Phase 2: Security & Compliance Requirements (p. 16-20)
D.TI,HSCC-051 Phase 1: Standard Third-Party Risk Assessment (p. 13-16),HSCC-125 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-305 Appendix J: References (p. 108)
G.AC-02,HSCC-001 Executive Summary / Best Practice Components (p. 7),HSCC-008 Key Recommendations (p. 8),HSCC-025 Phase 0: Problem Definition & Solution Assessment (p. 11-13)
G.GV.A-01,HSCC-001 Executive Summary / Best Practice Components (p. 7),HSCC-008 Key Recommendations (p. 8),HSCC-025 Phase 0: Problem Definition & Solution Assessment (p. 11-13)
G.GV.A-06,HSCC-041 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-141 Phase 2: Transparency & Explainability (p. 16-20),HSCC-142 Phase 2: Transparency & Explainability (p. 16-20)
G.GV.C-03,HSCC-096 Phase 1: Ethical & Responsible AI Practices (p. 13-16),HSCC-097 Phase 1: Ethical & Responsible AI Practices (p. 13-16),HSCC-098 Phase 1: Ethical & Responsible AI Practices (p. 13-16)
G.GV.P-04,HSCC-001 Executive Summary / Best Practice Components (p. 7),HSCC-008 Key Recommendations (p. 8),HSCC-015 AI Third-Party Process (p. 9)
G.LR-01,HSCC-050 Phase 1: Standard Third-Party Risk Assessment (p. 13-16),HSCC-052 Phase 1: Standard Third-Party Risk Assessment (p. 13-16),HSCC-081 Phase 1: Third-Party & Supply Chain Dependencies (p. 13-16)
G.LR-03,HSCC-003 Executive Summary / Best Practice Components (p. 7),HSCC-009 Key Recommendations (p. 8),HSCC-016 AI Third-Party Process (p. 9)
G.PR-01,HSCC-031 Phase 0: Risk Classification & Categorization (p. 11-13),HSCC-038 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-049 Phase 1: Standard Third-Party Risk Assessment (p. 13-16)
G.RM-03,HSCC-002 Executive Summary / Best Practice Components (p. 7),HSCC-010 Key Recommendations (p. 8),HSCC-014 AI Third-Party Process (p. 9-10)
G.ST.S-01,HSCC-015 AI Third-Party Process (p. 9),HSCC-017 AI Third-Party Scope (p. 10),HSCC-018 AI Third-Party Scope (p. 10)
G.ST.S-03,HSCC-032 Phase 0: Risk Classification & Categorization (p. 11-13),HSCC-040 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-043 Phase 0: AI-Specific Considerations (p. 11-13)
I.AM-01,HSCC-004 Executive Summary / Best Practice Components (p. 7),HSCC-012 Key Recommendations (p. 8),HSCC-013 Key Recommendations (p. 8)
I.AM-02,HSCC-297 Appendix C: Inventory Management (p. 59-60),"HSCC-297: Use discovery techniques and inventory categories to identify AI-enabled third-party systems across clinical, operational, administrative, infrastructure, and analytics domains.","ARISE I.AM-02 (System Asset Management) maps to HSCC through inferred control equivalence across Inventory. The mapped HSCC items require governance, operating procedures, evidence, monitoring, validation, vendor oversight, privacy/security safeguards, or response capabilities that this ARISE control is designed to implement, operate, or validate."
I.DG-01,HSCC-042 Phase 0: AI-Specific Considerations (p. 11-13),"HSCC-053 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)","HSCC-054 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)"
I.IM-01,HSCC-017 AI Third-Party Scope (p. 10),HSCC-018 AI Third-Party Scope (p. 10),HSCC-019 AI Third-Party Scope (p. 10)
I.SC-01,HSCC-002 Executive Summary / Best Practice Components (p. 7),HSCC-003 Executive Summary / Best Practice Components (p. 7),HSCC-004 Executive Summary / Best Practice Components (p. 7)
I.TM-01,HSCC-188 Phase 3: Threat Modeling (p. 20-26),HSCC-189 Phase 3: Threat Modeling (p. 20-26),HSCC-190 Phase 3: Threat Modeling (p. 20-26)
M.CM,"HSCC-126 Phase 2: Updates, Patches & Change Management (p. 16-20)","HSCC-128 Phase 2: Updates, Patches & Change Management (p. 16-20)","HSCC-129 Phase 2: Updates, Patches & Change Management (p. 16-20)"
M.DV-01,HSCC-007 Executive Summary / Best Practice Components (p. 7),HSCC-014 AI Third-Party Process (p. 9-10),HSCC-022 Phase 0: Problem Definition & Solution Assessment (p. 11-13)
M.OV-01,HSCC-096 Phase 1: Ethical & Responsible AI Practices (p. 13-16),HSCC-097 Phase 1: Ethical & Responsible AI Practices (p. 13-16),HSCC-098 Phase 1: Ethical & Responsible AI Practices (p. 13-16)
M.PM,HSCC-242 Phase 4: Performance Monitoring & Metrics (p. 27-30),HSCC-252 Phase 4: Compliance Auditing (p. 27-30),HSCC-296 Appendix B: Governance Policy (p. 52-58)
M.RM-01,HSCC-002 Executive Summary / Best Practice Components (p. 7),HSCC-003 Executive Summary / Best Practice Components (p. 7),HSCC-009 Key Recommendations (p. 8)
M.RM-02,HSCC-014 AI Third-Party Process (p. 9-10),HSCC-072 Phase 1: AI Governance & Risk Management Framework (p. 13-16),HSCC-073 Phase 1: AI Governance & Risk Management Framework (p. 13-16)
P.AC.M-01,"HSCC-053 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)","HSCC-054 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)","HSCC-055 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)"
P.AC.M-03,HSCC-041 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-059 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16),HSCC-062 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16)
P.AC.S-01,HSCC-042 Phase 0: AI-Specific Considerations (p. 11-13),"HSCC-055 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)","HSCC-056 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)"
P.AC.S-02,HSCC-066 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-067 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-070 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16)
P.AT-01,"HSCC-053 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)","HSCC-054 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)",HSCC-068 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16)
P.AT-03,"HSCC-053 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)","HSCC-054 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)",HSCC-068 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16)
P.DS-01,HSCC-031 Phase 0: Risk Classification & Categorization (p. 11-13),HSCC-038 Phase 0: AI-Specific Considerations (p. 11-13),HSCC-042 Phase 0: AI-Specific Considerations (p. 11-13)
P.DS-02,HSCC-118 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-121 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-122 Phase 2: Security & Compliance Requirements (p. 16-20)
P.IM,HSCC-066 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-067 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16),HSCC-070 Phase 1: AI-Specific GRC: Security Controls & AI-Specific Risks (p. 13-16)
P.PC,HSCC-116 Phase 2: Data Ownership & Control (p. 16-20),HSCC-119 Phase 2: Security & Compliance Requirements (p. 16-20),HSCC-157 Phase 2: Third-Party Dependencies & Supply Chain (p. 16-20)
P.RP-01,HSCC-006 Executive Summary / Best Practice Components (p. 7),HSCC-007 Executive Summary / Best Practice Components (p. 7),HSCC-047 Phase 1: Standard Third-Party Risk Assessment (p. 13-16)
R.IC.E-01,HSCC-163 Phase 2: Regulatory Compliance & Liability (p. 16-20),HSCC-239 Phase 3: AI Incident Response Preparedness (p. 20-26),HSCC-264 Phase 5: Incident Response Planning & Preparation (p. 30-35)
R.IM-01,HSCC-235 Phase 3: AI Incident Response Preparedness (p. 20-26),HSCC-236 Phase 3: AI Incident Response Preparedness (p. 20-26),HSCC-237 Phase 3: AI Incident Response Preparedness (p. 20-26)
R.IR-01,HSCC-006 Executive Summary / Best Practice Components (p. 7),HSCC-060 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16),HSCC-061 Phase 1: AI-Specific GRC: Model Transparency & Explainability (p. 13-16)
R.LL,HSCC-234 Phase 3: AI Incident Response Preparedness (p. 20-26),HSCC-234: Establish AI-specific incident response capabilities before production.,"ARISE R.LL (Incident Lessons Learned) maps to HSCC through inferred control equivalence across Implementation. The mapped HSCC items require governance, operating procedures, evidence, monitoring, validation, vendor oversight, privacy/security safeguards, or response capabilities that this ARISE control is designed to implement, operate, or validate."
V.CI,HSCC-234 Phase 3: AI Incident Response Preparedness (p. 20-26),HSCC-234: Establish AI-specific incident response capabilities before production.,"ARISE V.CI (Continuous Improvement) maps to HSCC through inferred control equivalence across Implementation. The mapped HSCC items require governance, operating procedures, evidence, monitoring, validation, vendor oversight, privacy/security safeguards, or response capabilities that this ARISE control is designed to implement, operate, or validate."
V.TE-01,"HSCC-057 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)",HSCC-084 Phase 1: Regulatory Compliance & Validation (p. 13-16),HSCC-085 Phase 1: Regulatory Compliance & Validation (p. 13-16)
V.TE-03,HSCC-005 Executive Summary / Best Practice Components (p. 7),HSCC-011 Key Recommendations (p. 8),"HSCC-057 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)"
V.TE-04,HSCC-005 Executive Summary / Best Practice Components (p. 7),HSCC-011 Key Recommendations (p. 8),"HSCC-057 Phase 1: AI-Specific GRC: Data Lineage, Quality & Bias (p. 13-16)"
