arise_control_id,prEN 18282 Reference,rationale
G.AC-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Top Management Commitment (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-01-req-03 (Roles & Authorities: Appoint leaders for security, privacy, resilience, and AI governance with documented responsibilities.) -- matched terms: security. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.AC-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Charters & Committees (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-02-req-05 (Escalation: Define thresholds/routes for risk, incidents, and exceptions.) -- matched terms: incident. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.AC-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control Executive Leadership & Board Oversight (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.AC-03-req-02 (Risk Reporting: Receive quarterly risk/performance reports (incidents, audits, trends).) -- matched terms: incident. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.GV.A-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Accountability (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Ensure every AI decision/outcome has a traceable human owner with authority to act on risk findings.. None of the 4 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.A-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Fairness (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Adopt quantitative fairness metrics and enforce mitigation when disparities exceed thresholds.. None of the 4 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.A-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control Inclusivity (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Promote inclusive data practices with demographic representation and cultural relevance; engage diverse stakeholders.. None of the 4 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.A-04,Art. 15(cyber) - AI Cybersecurity,"ARISE control Cultural Considerations (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Respect cultural norms and jurisdictional sensitivities in outputs, labeling, and UX; require contextual review before global deployments.. None of the 3 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.A-05,Art. 15(cyber) - AI Cybersecurity,"ARISE control Tensions and Trade-offs (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Document trade-offs between accuracy, privacy, interpretability, and fairness; justify risk acceptance with leadership approval and transparent communication.. None of the 4 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.A-06,Art. 15(cyber) - AI Cybersecurity,"ARISE control Transparency (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Publish explainability statements and disclose AI use where applicable; ensure documentation supports regulator and customer inquiries.. None of the 4 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.C-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control COC: Acceptable Use (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-01-req-01 (Acceptable-Use Definition: Define permissible/prohibited behaviors for systems, networks, apps, and AI tools.) -- matched terms: network"
G.GV.C-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control COC: Data Ethics (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-02-req-03 (Ethical Decision-Making Model: Apply a model (e.g., ethical impact assessment) for sensitive/high-risk data.) -- matched terms: assessment. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.GV.C-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control COC: Ethical Principles for AI & Tech (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.C-03-req-04 (Fairness Assessments: Quantitative/qualitative bias testing pre-deployment.) -- matched terms: assessment"
G.GV.P-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Core Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 8 requirements demonstrate direct keyword alignment to this standard: G.GV.P-01-req-04 (Exceptions & Waivers: Documented, risk-assessed, authorized, time-bound.) -- matched terms: authoriz"
G.GV.P-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Security Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-02-req-01 (Policy Content: IAM, encryption, logging, IR, physical security, VM, acceptable use.) -- matched terms: security"
G.GV.P-03,Art. 15(cyber) - Cyber Incident Response,"ARISE control Response & Resilience Policies (GOVERN) maps to Art. 15(cyber) - Cyber Incident Response of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-03-req-06 (Review & Improvement: Post-incident reviews feed updates.) -- matched terms: incident"
G.GV.P-04,Art. 15(cyber) - AI Cybersecurity,"ARISE control AI Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-04-req-01 (Policy Components: Data governance, model development, transparency, human oversight, fairness, explainability, robustness, lifecycle monitoring.) -- matched terms: monitor"
G.GV.P-05,Art. 15(cyber) - AI Cybersecurity,"ARISE control Privacy Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Define rules for lawful, fair, transparent processing of personal/sensitive data, aligned to AI privacy needs.. None of the 7 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.P-06,Art. 15(cyber) - AI Cybersecurity,"ARISE control Ethics Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Promote integrity, fairness, transparency, and human-centric technology use through enforceable ethical standards.. None of the 6 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.P-07,Art. 15(cyber) - AI Cybersecurity,"ARISE control HR Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-07-req-02 (Onboarding Controls: Security/policy training before access.) -- matched terms: security"
G.GV.P-08,Art. 15(cyber) - AI Cybersecurity,"ARISE control Supply-Chain Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-08-req-02 (Contractual Clauses: Include security/confidentiality/data-protection/audit rights.) -- matched terms: security"
G.GV.P-09,Art. 15(cyber) - AI Cybersecurity,"ARISE control Data-Governance Policies (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-09-req-05 (Monitoring: DLP and lineage tracking.) -- matched terms: monitor"
G.GV.S-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Core Standards (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Define and maintain organizational standards that operationalize policy commitments into measurable, auditable controls.. None of the 9 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.GV.S-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Security Standards (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 5 of 10 requirements demonstrate direct keyword alignment to this standard: G.GV.S-02-req-04 (Patch/Vulnerability Standards: SLAs (e.g., critical ≤ 7 days) and emergency patching.) -- matched terms: vulnerability"
G.GV.S-03,Art. 15(cyber) - Cyber Incident Response,"ARISE control Response & Resilience Standards (GOVERN) maps to Art. 15(cyber) - Cyber Incident Response of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.S-03-req-1 (Response Activation Criteria: Thresholds for cyber, AI failure, privacy breach.) -- matched terms: response"
G.GV.S-04,Art. 15(cyber) - Security Testing,"ARISE control AI Standards (GOVERN) maps to Art. 15(cyber) - Security Testing of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-04-req-03 (AI Lifecycle Controls: Dataset governance; model design/training/evaluation/deployment/monitoring/decommissioning.) -- matched terms: monitor"
G.LR-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Data Privacy Compliance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 9 requirements demonstrate direct keyword alignment to this standard: G.LR-01-req-03 (Gap Assessment & Compliance Plan: Annual assessments and remediation.) -- matched terms: assessment"
G.LR-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Intellectual Property (IP) Management (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 4 of 9 requirements demonstrate direct keyword alignment to this standard: G.LR-02-req-02 (Access Controls: Restrict repo/model access.) -- matched terms: access control"
G.LR-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control AI Regulatory Compliance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 4 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-03-req-04 (Incident Reporting: Procedures for notifying authorities of serious incidents.) -- matched terms: incident"
G.LR-04,Art. 15(cyber) - AI Cybersecurity,"ARISE control Cybersecurity Regulatory Compliance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.LR-04-req-01 (Regulation Register: Identify cybersecurity obligations (e.g., NIS2, HIPAA, PCI DSS).) -- matched terms: cybersecurity, security"
G.LR-05,Art. 15(cyber) - AI Cybersecurity,"ARISE control Ethical Use, Fairness & Bias Compliance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-05-req-03 (Bias Assessment: Pre-deployment testing with demographic/contextual metrics.) -- matched terms: assessment"
G.OV,Art. 15(cyber) - AI Cybersecurity,"ARISE control Org Values & Governance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Establish and embed organizational values and ethical tenets guiding secure, ethical, and equitable design/deployment of AI and digital systems.. None of the 7 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.PR-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Privacy Program (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 11 requirements demonstrate direct keyword alignment to this standard: G.PR-01-req-06 (Incident Management: Breach-notification workflows and timelines.) -- matched terms: incident"
G.RM-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk Management Framework (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-01-req-05 (Assessment Process: Identification, analysis, evaluation, treatment; quantitative for high-impact.) -- matched terms: assessment"
G.RM-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk Appetite and Tolerance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Define and approve thresholds for acceptable risk across domains.. None of the 7 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.RM-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk Management Program: AI (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 5 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-03-req-01 (AI Risk Framework: Ethical, technical, data, security, regulatory, societal.) -- matched terms: security"
G.RM-04,Art. 15(cyber) - Security Monitoring & Detection,"ARISE control Risk-Management Program: Cybersecurity (GOVERN) maps to Art. 15(cyber) - Security Monitoring & Detection of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 6 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-04-req-01 (Vulnerability Management: Automated scanning + manual testing with SLAs.) -- matched terms: scan, vulnerability"
G.RM-05,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk-Management Program: Third-Party (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 9 requirements demonstrate direct keyword alignment to this standard: G.RM-05-req-02 (Due Diligence: Questionnaires, attestations (SOC 2, ISO 27001/42001), independent assessments.) -- matched terms: assessment"
G.ST.B,Art. 15(cyber) - AI Cybersecurity,"ARISE control System Boundaries (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.B-req-3 (Interface Control: Identify data flows/protocols between zones; require explicit allow rules and identity-aware controls.) -- matched terms: identity. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.ST.O-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Mission Statement (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.ST.O-01-req-2 (Governance Alignment: Link the mission to governance objectives (security, privacy, resilience, responsible AI) with accountable owners and measurable outcomes.) -- matched terms: security"
G.ST.O-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Goals & Context (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.O-02-req-1 (Context Analysis: Document internal (culture/tech) and external (threat/legal) factors.) -- matched terms: threat. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control AI Scope (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-01-req-3 (Lifecycle Coverage: Declare governed lifecycle stages (data, training, evaluation, deployment, monitoring, retirement).) -- matched terms: monitor. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Security Scope (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Establish which assets and environments are protected by the security program and how protection is proportionate to risk and criticality.. None of the 6 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
